chrom chromStart chromEnd name score strand signalValue pValue qValue
209 chr1 9204800 9205799 . 500 . 5.07539481615 3.07267251274e-06 4.25302873967e-06
210 chr1 9222400 9225999 . 500 . 5.72135415639 1.88379177572e-27 1.69991745554e-26
211 chr1 9240400 9243399 . 500 . 10.6583291139 2.39501562508e-56 1.18828256717e-54
212 chr1 9256200 9258199 . 500 . 7.41788473129 1.56877578021e-21 9.30430357953e-21
213 chr1 9261000 9262199 . 500 . 8.81515941752 2.78379764529e-21 1.62573944299e-20
214 chr1 9269800 9270599 . 500 . 6.7671930882 4.31438465469e-06 5.87342661888e-06
215 chr1 9289200 9290199 . 500 . 3.26275381038 0.000589670165698 0.00064021787435
216 chr1 9290600 9290999 . 500 . 9.30489049627 5.24242419449e-09 1.04146194186e-08
217 chr1 9291400 9292399 . 500 . 7.61309222422 1.10376115231e-11 2.92608286481e-11
218 chr1 9292800 9296599 . 500 . 11.522517961 5.68585356858e-59 3.24117848531e-57
219 chr1 9299800 9300599 . 500 . 3.51373487272 0.000334721061221 0.000370556864271
220 chr1 9309400 9310799 . 500 . 7.61309222422 1.38565975014e-08 2.58906451117e-08
221 chr1 9326800 9327399 . 500 . 5.07539481615 1.70975605418e-05 2.15714928909e-05
222 chr1 9335200 9335599 . 500 . 5.92129395217 3.33224765647e-05 4.09311129573e-05
223 chr1 9339000 9342999 . 500 . 5.80045121845 4.69303210227e-22 2.91707639202e-21
224 chr1 9352200 9354399 . 500 . 8.62817118745 1.47629381774e-21 8.78041970508e-21
225 chr1 9354800 9355399 . 500 . 5.70981916817 6.28200196937e-06 8.40598315698e-06
226 chr1 9359600 9362199 . 500 . 6.70677172134 1.36665268538e-19 7.07178756456e-19
227 chr1 9362800 9363399 . 500 . 9.22799057481 2.81579676623e-14 9.36300185679e-14
228 chr1 9374400 9378799 . 500 . 7.01327283686 7.6450524218e-39 1.4686394203e-37
229 chr1 9380400 9381599 . 500 . 3.5527763713 1.68192198375e-05 2.13220657654e-05
230 chr1 9444400 9445199 . 500 . 8.12063170584 9.96511973417e-07 1.47747959594e-06
231 chr1 9456400 9458999 . 500 . 6.9786678722 3.02095681622e-18 1.41038815672e-17
232 chr1 9460800 9461199 . 500 . 8.12063170584 9.96511973417e-07 1.47747959594e-06
233 chr1 9470800 9475399 . 500 . 5.72608645924 6.2904007457e-38 1.1313431424e-36
234 chr1 9488200 9488999 . 500 . 3.14191107666 0.000108079356089 0.000124419741121
235 chr1 9498200 9500399 . 500 . 3.83749364148 1.6834955662e-10 3.90738202799e-10
236 chr1 9579200 9579599 . 500 . 4.5114620588 9.82074056614e-05 0.00011362812284
237 chr1 9599600 9601799 . 500 . 9.89701989149 1.75048671429e-26 1.49518724918e-25
238 chr1 9648800 9650399 . 500 . 9.85223699605 9.28991943245e-23 5.99940996547e-22
239 chr1 9653200 9653999 . 500 . 11.1658685955 7.04438271609e-10 1.52981358296e-09
240 chr1 9704400 9705399 . 500 . 6.34424352018 8.88266590936e-07 1.33329565088e-06
241 chr1 9745400 9745799 . 500 . 7.10555274261 9.21208394999e-06 1.20137340921e-05
242 chr1 9746600 9749599 . 500 . 7.16526326986 6.97073034366e-26 5.7206393925e-25
243 chr1 9750000 9751399 . 500 . 3.5950713281 2.55520308008e-06 3.59610237546e-06
244 chr1 9759800 9761399 . 500 . 5.55876575102 1.9511025934e-11 5.04655903611e-11
245 chr1 9778000 9779199 . 500 . 10.1507896323 8.63863798436e-09 1.66988736563e-08
246 chr1 9779600 9780199 . 500 . 8.12063170584 9.96511973417e-07 1.47747959594e-06
247 chr1 9883200 9886199 . 500 . 6.26960536112 7.93116996614e-21 4.49940511857e-20
248 chr1 9927000 9927999 . 500 . 3.51373487272 0.000334721061221 0.000370556864271
249 chr1 9948800 9951999 . 500 . 6.13276873618 2.48567099643e-27 2.22779094568e-26
250 chr1 9952400 9953599 . 500 . 4.47828954366 7.63920503637e-12 2.05498424982e-11
251 chr1 9957400 9958599 . 500 . 6.63705475958 3.13449580123e-10 7.113282357e-10
252 chr1 9959200 9960999 . 500 . 5.92129395217 3.77402643098e-11 9.55014162441e-11
253 chr1 9967800 9968199 . 500 . 13.5343861764 1.42791367041e-08 2.64081889491e-08
254 chr1 9969400 9969999 . 500 . 11.4196383363 1.24721272811e-08 2.349166223e-08
255 chr1 9970800 9971399 . 500 . 4.47828954366 5.22764271882e-07 7.96680023451e-07
256 chr1 10002800 10004199 . 500 . 5.88745798673 1.93155455956e-14 6.56450863759e-14
257 chr1 10017000 10017999 . 500 . 3.98781021269 3.24409240215e-05 4.00477923044e-05
258 chr1 10019200 10019799 . 500 . 9.13571066907 9.72308693876e-08 1.65089956439e-07
259 chr1 10020600 10021599 . 500 . 3.58263163493 4.91937813835e-05 5.86620680456e-05
260 chr1 10076200 10077199 . 500 . 7.61309222422 5.04094294922e-07 7.76933519629e-07
261 chr1 10078200 10079399 . 500 . 3.3835965441 0.000777278781929 0.000838269635255
262 chr1 10092000 10092599 . 500 . 4.15259575867 8.94332346524e-05 0.000104722915873
263 chr1 10093000 10093799 . 500 . 35.527763713 6.01643927741e-43 1.50272630007e-41
264 chr1 10095200 10095999 . 500 . 6.9786678722 1.15377627426e-07 1.92726052246e-07
265 chr1 10117600 10118199 . 500 . 4.65244524814 7.29653038122e-06 9.59861742289e-06
266 chr1 10133800 10134399 . 500 . 8.88194092826 1.61434964329e-10 3.75567938084e-10
267 chr1 10168600 10169399 . 500 . 2.4041343866 0.0052461588024 0.00542223156523
268 chr1 10269800 10272399 . 500 . 9.16845515175 3.83434536639e-35 5.82808894041e-34
269 chr1 10458400 10460399 . 500 . 6.05772929669 3.68425168381e-18 1.71826281384e-17
270 chr1 10490200 10491399 . 500 . 7.00887855563 2.20690890277e-16 8.90698016414e-16
271 chr1 10531800 10532599 . 500 . 8.62817118745 4.86158851484e-12 1.32038601902e-11
272 chr1 10534400 10535599 . 500 . 6.7671930882 8.98227040018e-12 2.39606705946e-11
273 chr1 10568000 10570999 . 500 . 5.92129395217 7.73746015422e-23 5.04793910191e-22
274 chr1 10571600 10573199 . 500 . 3.45126847498 4.43369536902e-06 5.99725179617e-06
275 chr1 10587600 10590199 . 500 . 4.78810831712 2.13881984021e-19 1.08803660428e-18
276 chr1 10590600 10592199 . 500 . 4.61399528741 7.5747714787e-09 1.47745542703e-08
277 chr1 10659000 10659999 . 500 . 5.07539481615 5.57256131234e-07 8.47044494951e-07
278 chr1 10746200 10747199 . 500 . 6.7671930882 5.34414266009e-08 9.37432204552e-08
279 chr1 10783400 10785199 . 500 . 5.4379230173 5.79448806502e-14 1.89493763819e-13
280 chr1 10791000 10791599 . 500 . 2.6869737262 0.00243820241822 0.00255739211231
281 chr1 10838600 10839599 . 500 . 5.4379230173 4.05485050105e-08 7.19644638475e-08
282 chr1 10862800 10863399 . 500 . 5.07539481615 4.05011726936e-05 4.89743080551e-05
283 chr1 10884000 10885999 . 500 . 7.15169269548 1.38254661642e-17 6.13095541195e-17
284 chr1 10895800 10896399 . 500 . 8.12063170584 4.46959848666e-11 1.11734401581e-10
285 chr1 10926800 10927599 . 500 . 9.30489049627 5.24242419449e-09 1.04146194186e-08
286 chr1 10960200 10962799 . 500 . 9.0229241176 5.1551767693e-21 2.97112066549e-20
287 chr1 11020400 11021599 . 500 . 6.09047377938 1.75410126105e-07 2.86542777794e-07
288 chr1 11035800 11036599 . 500 . 2.70687723528 0.0034551325422 0.00360315713745
289 chr1 11072400 11073999 . 500 . 8.67046614425 1.5426258786e-25 1.23299619748e-24
290 chr1 11117400 11120599 . 500 . 14.0080896926 1.93412549682e-54 8.70909080852e-53
291 chr1 11159000 11160799 . 500 . 6.17874151531 1.54011441416e-14 5.29824671087e-14
292 chr1 11322000 11323799 . 500 . 4.61399528741 7.5747714787e-09 1.47745542703e-08
293 chr1 11333200 11334199 . 500 . 7.29588004821 7.31135302982e-14 2.38033583573e-13
294 chr1 11434000 11434399 . 500 . 27.9146714888 2.03510007964e-14 6.84320813291e-14
295 chr1 11539000 11539599 . 500 . 10.1507896323 8.63863798436e-09 1.66988736563e-08
296 chr1 11619400 11620199 . 500 . 10.1507896323 8.63863798436e-09 1.66988736563e-08
297 chr1 11623000 11623999 . 500 . 5.70981916817 6.28200196937e-06 8.40598315698e-06
298 chr1 11712600 11714799 . 500 . 13.8727458308 2.32147521695e-33 3.11036659506e-32
299 chr1 11715200 11715599 . 500 . 11.4196383363 1.24721272811e-08 2.349166223e-08
